代碼,議會代碼,屆次,就職日,任期屆滿日,現任,備註
nwt-1,nwt,1,2010-12-25,2014-12-25,,臺北縣升格為新北市直轄市成立
nwt-2,nwt,2,2014-12-25,2018-12-25,,
nwt-3,nwt,3,2018-12-25,2022-12-25,,
nwt-4,nwt,4,2022-12-25,,Y,
tpq-1,tpq,1,1951-01-04,1953-01-05,,
tpq-2,tpq,2,1953-01-16,1955-01-15,,
tpq-3,tpq,3,1955-01-16,1958-02-20,,
tpq-4,tpq,4,1958-02-21,1961-02-20,,
tpq-5,tpq,5,1961-02-21,1964-02-20,,
tpq-6,tpq,6,1964-02-21,1968-02-20,,
tpq-7,tpq,7,1968-02-21,1973-04-30,,
tpq-8,tpq,8,1973-05-01,1977-12-29,,
tpq-9,tpq,9,1977-12-30,1982-02-28,,
tpq-10,tpq,10,1982-03-01,1986-02-28,,
tpq-11,tpq,11,1986-03-01,1990-02-28,,
tpq-12,tpq,12,1990-03-01,1994-02-28,,
tpq-13,tpq,13,1994-03-01,1998-02-28,,
tpq-14,tpq,14,1998-03-01,2002-02-28,,
tpq-15,tpq,15,2002-03-01,2006-02-28,,
tpq-16,tpq,16,2006-03-01,2010-12-24,,臺北縣升格為新北市直轄市，議會廢止
tpe-1950-1,tpe-1950,1,1950-11-29,1953-01-15,,
tpe-1950-2,tpe-1950,2,1953-01-16,1955-01-15,,
tpe-1950-3,tpe-1950,3,1955-01-16,1958-02-20,,
tpe-1950-4,tpe-1950,4,1958-02-21,1961-02-20,,
tpe-1950-5,tpe-1950,5,1961-02-21,1964-02-20,,
tpe-1950-6,tpe-1950,6,1964-02-21,1967-06-30,,臺北市改制直轄市，改設臨時市議會
tpe-1967-1,tpe-1967,1,1967-07-01,1969-12-24,,臺北市改制直轄市設臨時市議會；為唯一一屆，結束後直轄市議會正式成立
tpe-1,tpe,1,1969-12-25,1973-12-24,,臺北市直轄市議會正式成立
tpe-2,tpe,2,1973-12-25,1977-12-24,,
tpe-3,tpe,3,1977-12-25,1981-12-24,,
tpe-4,tpe,4,1981-12-25,1985-12-24,,
tpe-5,tpe,5,1985-12-25,1989-12-25,,
tpe-6,tpe,6,1989-12-25,1994-12-25,,
tpe-7,tpe,7,1994-12-25,1998-12-25,,
tpe-8,tpe,8,1998-12-25,2002-12-25,,
tpe-9,tpe,9,2002-12-25,2006-12-25,,
tpe-10,tpe,10,2006-12-25,2010-12-25,,
tpe-11,tpe,11,2010-12-25,2014-12-25,,
tpe-12,tpe,12,2014-12-25,2018-12-25,,
tpe-13,tpe,13,2018-12-25,2022-12-25,,
tpe-14,tpe,14,2022-12-25,,Y,
txg-1,txg,1,2010-12-25,2014-12-25,,臺中縣市合併升格直轄市成立
txg-2,txg,2,2014-12-25,2018-12-25,,
txg-3,txg,3,2018-12-25,2022-12-25,,
txg-4,txg,4,2022-12-25,,Y,
txg-1950-1,txg-1950,1,,,,
txg-1950-2,txg-1950,2,,,,
txg-1950-3,txg-1950,3,,,,
txg-1950-4,txg-1950,4,,,,
txg-1950-5,txg-1950,5,,,,
txg-1950-6,txg-1950,6,,,,
txg-1950-7,txg-1950,7,,,,
txg-1950-8,txg-1950,8,,,,
txg-1950-9,txg-1950,9,,,,
txg-1950-10,txg-1950,10,,,,
txg-1950-11,txg-1950,11,,,,
txg-1950-12,txg-1950,12,,,,
txg-1950-13,txg-1950,13,,,,
txg-1950-14,txg-1950,14,,,,
txg-1950-15,txg-1950,15,,,,
txg-1950-16,txg-1950,16,,,,臺中縣市合併升格直轄市，議會廢止
txq-1,txq,1,,,,
txq-2,txq,2,,,,
txq-3,txq,3,,,,
txq-4,txq,4,,,,
txq-5,txq,5,,,,
txq-6,txq,6,,,,
txq-7,txq,7,,,,
txq-8,txq,8,,,,
txq-9,txq,9,,,,
txq-10,txq,10,,,,
txq-11,txq,11,,,,
txq-12,txq,12,,,,
txq-13,txq,13,,,,
txq-14,txq,14,,,,
txq-15,txq,15,,,,
txq-16,txq,16,,,,臺中縣市合併升格直轄市，議會廢止
tnn-1,tnn,1,2010-12-25,2014-12-25,,臺南縣市合併升格直轄市成立
